Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Lincoln Town Car,68000,PLN,Prywatne,Lincoln,Town Car,,1975,27 000 km,7 500 cm3,Benzyna,211 KM,Sedan,Automatyczna,4,6,Inny kolor,Używane,Tak,Na tylne koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-town-car-lincoln-continental-town-car-1975-rok-ID6GpBVx.html
Lincoln Inny,95000,PLN,Prywatne,Lincoln,Inny,,2019,60 000 km,1 999 cm3,Benzyna,246 KM,SUV,Automatyczna,5,,Czarny,Używane,,,,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-ID6GpHcL.html
Lincoln Inny,119000,PLN,Prywatne,Lincoln,Inny,,2019,67 700 km,1 999 cm3,Benzyna,250 KM,SUV,Automatyczna,5,5,Niebieski,Używane,Tak,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-lincoln-nautilus-4x4-250km-ford-edge-ID6Gpt5f.html
,,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-town-car-lincoln-town-coupe-1978-zolte-tablice-ID6Gpabs.html
Lincoln Town Car,55000,PLN,Prywatne,Lincoln,Town Car,,1979,87 000 km,6 600 cm3,Benzyna,213 KM,Sedan,Automatyczna,4,,Niebieski,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-town-car-lincoln-town-car-continental-colector-series-ID6Gp82i.html
Lincoln Navigator,36000,PLN,Firma,Lincoln,Navigator,,2016,192 490 km,3 500 cm3,Benzyna,380 KM,SUV,Automatyczna,5,7,Czarny,Używane,,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-3-5-awd-wersja-long-ID6GcWxL.html
,,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-lincoln-navigator-5-4-l-dvd-4x4-benz-lpg-2008r-ID6G2xOV.html
Lincoln Mark LT,65000,PLN,Prywatne,Lincoln,Mark LT,,1977,135 000 km,7 500 cm3,Benzyna,220 KM,Coupe,Automatyczna,2,6,Brązowy,Używane,Tak,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/lincoln-mark-lt-lincoln-continental-mark-v-1977-v8-7-5-l-ID6FuRmA.html
Lincoln Corsair,175000,PLN,Prywatne,Lincoln,Corsair,,2021,660 km,1 997 cm3,Benzyna,249 KM,SUV,Automatyczna,5,5,Złoty,Używane,Tak,4x4 (dołączany automatycznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/lincoln-corsair-lincoln-corsair-2021-tylko-660km-ID6GpEFM.html
Lincoln Aviator,51500,PLN,Prywatne,Lincoln,Aviator,,2005,165 000 km,4 601 cm3,Benzyna,306 KM,SUV,Automatyczna,5,6,Czerwony,Używane,Tak,4x4 (stały),,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-aviator-lincoln-aviator-luxury-4-6-4-wd-ID6FV2WZ.html
Lincoln Navigator 5.4 4WD Luxury,32500,PLN,Prywatne,Lincoln,Navigator,5.4 4WD Luxury,2005,270 421 km,5 408 cm3,Benzyna+LPG,300 KM,SUV,Automatyczna,5,7,Szary,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-lincoln-navigator-5-4lpg-4x4-ID6Gm3Nd.html
Lincoln Navigator,95900,PLN,Firma,Lincoln,Navigator,,2018,98 134 km,3 500 cm3,Benzyna,450 KM,SUV,Automatyczna,5,,Beżowy,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-wersja-reserve-ID6Goiln.html
Lincoln Navigator,110000,PLN,Prywatne,Lincoln,Navigator,,2011,149 000 km,5 408 cm3,Benzyna,300 KM,SUV,Automatyczna,5,8,Srebrny,Używane,Tak,,,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-piekny-lincoln-navigator-tylko-149-000-tys-km-ID6GmTRD.html
Lincoln Aviator,109900,PLN,Firma,Lincoln,Aviator,,2019,101 935 km,3 000 cm3,Benzyna,400 KM,SUV,Automatyczna,5,,Srebrny,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-aviator-nietuzinkowy-wersja-reserved-ID6Goi6a.html
Lincoln MKZ,85000,PLN,Prywatne,Lincoln,MKZ,,2019,127 000 km,1 999 cm3,Benzyna,186 KM,Sedan,Automatyczna,5,5,Czarny,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-mkz-lincoln-mkz-2019-hybryda-fusion-2-0-ID6GoXsW.html
Lincoln Navigator,119000,PLN,Firma,Lincoln,Navigator,,2019,64 632 km,3 496 cm3,Benzyna,455 KM,SUV,Automatyczna,5,7,Granatowy,Używane,,4x4 (stały),,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-2019-lincoln-navigator-l-black-label-3-5l-v6-benzyna-automat-4x4-7-os-ID6Gn80x.html
Lincoln Inny,133500,PLN,Prywatne,Lincoln,Inny,,2020,64 500 km,1 999 cm3,Benzyna,245 KM,SUV,Automatyczna,5,5,Złoty,Używane,Tak,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-nautilus-reserve-2-0t-awd-245km-czyli-lepszy-ford-edge-ID6Ghs2W.html
Lincoln Continental,109500,PLN,Prywatne,Lincoln,Continental,,2017,158 000 km,3 690 cm3,Benzyna+LPG,309 KM,Sedan,Automatyczna,4,5,Srebrny,Używane,Tak,Na przednie koła,12 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lincoln-continental-mark-x-niespotykany-na-drogach-3-7-v6-keyless-skora-bezwypadkowy-ID6EBbTY.html
Lincoln Town Car 4.6 Executive,25900,PLN,Prywatne,Lincoln,Town Car,4.6 Executive,2003,44 000 km,4 601 cm3,Benzyna,220 KM,Sedan,Automatyczna,4,2,Srebrny,Używane,Tak,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/lincoln-town-car-karawan-pogrzebowy-ID6Go7rV.html
Lincoln Navigator,196000,PLN,Prywatne,Lincoln,Navigator,,2017,27 000 km,3 500 cm3,Benzyna,379 KM,SUV,Automatyczna,5,6,Biały,Używane,Tak,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-pierwszy-wlasciciel-unikat-tylko-27-000-km-do-negocjacji-ID6FJKLJ.html
Lincoln Continental,25500,PLN,Prywatne,Lincoln,Continental,,1979,62 000 km,6 590 cm3,Benzyna,180 KM,Sedan,Automatyczna,4,,Granatowy,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-continental-collector-series-1-3100-ID6GhpfD.html
Lincoln Navigator 5.4 4x4,84999,PLN,Prywatne,Lincoln,Navigator,5.4 4x4,2013,345 000 km,5 408 cm3,Benzyna+LPG,300 KM,SUV,Automatyczna,5,7,Czarny,Używane,Tak,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-4x4-lpg-bezwypadek-ID6FZxHP.html
Lincoln Inny,139000,PLN,Firma,Lincoln,Inny,,2022,22 300 km,1 999 cm3,Benzyna,250 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-lincoln-corsair-2-0-awd-250km-ID6FOwwH.html
Lincoln Navigator,175000,PLN,Firma,Lincoln,Navigator,,2021,75 178 km,3 500 cm3,Benzyna,310 KM,SUV,Automatyczna,5,7,Czarny,Używane,,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-2021-3-5l-4x4-l-black-label-od-ubezpieczalni-ID6GmW99.html
Lincoln MKZ,77000,PLN,Prywatne,Lincoln,MKZ,,2019,115 000 km,1 999 cm3,Benzyna,239 KM,Sedan,Automatyczna,5,5,Czarny,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-mkz-lincoln-mkz-2019r-2-0-ecoboots-jak-mondeo-mk5-ID6GeBYl.html
Lincoln Navigator 5.4 4x4,25000,PLN,Prywatne,Lincoln,Navigator,5.4 4x4,2008,300 000 km,5 408 cm3,Benzyna,300 KM,SUV,Automatyczna,5,,Biały,Używane,Tak,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-lincoln-navigator-ID6GpfMo.html
Lincoln Mark LT,54900,PLN,Firma,Lincoln,Mark LT,,2006,217 338 km,5 408 cm3,Benzyna,304 KM,SUV,Automatyczna,4,5,Beżowy,Używane,Tak,4x4 (dołączany ręcznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lincoln-mark-lt-polecam-pickup-4-x-4-sliczny-model-lincolna-mark-lt-ID6GmgFE.html
Lincoln Navigator,219000,PLN,Firma,Lincoln,Navigator,,2018,160 000 km,3 500 cm3,Benzyna,455 KM,SUV,Automatyczna,4,7,Biały,Używane,,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-lincoln-navigator-3-5-455km-the-best-ID6Gccty.html
Lincoln MKZ,78900,PLN,Firma,Lincoln,MKZ,,2016,112 000 km,2 000 cm3,Benzyna,240 KM,Sedan,Automatyczna,4,5,Biały,Używane,,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-mkz-lincoln-mkz-2-0-ecoboost-awd-240km-gwarancja-ID6EPPDP.html
Lincoln MKZ,49900,PLN,Prywatne,Lincoln,MKZ,,2015,198 649 km,1 999 cm3,Benzyna,241 KM,Sedan,Automatyczna,4,5,Czarny,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lincoln-mkz-pierwszy-wlasciciel-ekonomiczny-zadbany-ID6GaM7q.html
Lincoln Continental,100000,PLN,Prywatne,Lincoln,Continental,,2018,80 120 km,3 700 cm3,Benzyna+LPG,310 KM,Sedan,Automatyczna,5,5,Inny kolor,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-continental-zadbany-lincoln-continental-ID6G3VBO.html
Lincoln Continental,83000,PLN,Prywatne,Lincoln,Continental,,2017,59 000 km,3 000 cm3,Benzyna,400 KM,Sedan,Automatyczna,5,,Czarny,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-continental-lincoln-continental-2017-3-0-400hp-4x4-okazja-ID6G8FdX.html
Lincoln Continental,83000,PLN,Prywatne,Lincoln,Continental,,2017,59 000 km,3 000 cm3,Benzyna,400 KM,Sedan,Automatyczna,5,,Czarny,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-continental-lincoln-continental-2017-3-0-400hp-4x4-okazja-ID6G8FdX.html
Lincoln Navigator 5.4 4WD Luxury,36000,PLN,Prywatne,Lincoln,Navigator,5.4 4WD Luxury,2003,282 000 km,5 408 cm3,Benzyna,300 KM,SUV,Automatyczna,5,7,Czarny,Używane,Tak,4x4 (dołączany ręcznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-lincoln-navigator-luxury-4x4-2003-ID6GgRz2.html
Lincoln Inny,84000,PLN,Prywatne,Lincoln,Inny,,2016,83 000 km,1 999 cm3,Benzyna,240 KM,SUV,Automatyczna,5,5,Beżowy,Używane,Tak,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-mkc-reserve-ID6FnR7L.html
Lincoln Mark LT,39800,PLN,Prywatne,Lincoln,Mark LT,,1978,99 000 km,7 500 cm3,Benzyna,220 KM,Coupe,Automatyczna,2,5,Biały,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-mark-lt-lincoln-continetnal-mark-v-7-5-1978r-ID6GitLI.html
Lincoln Continental,35900,PLN,Prywatne,Lincoln,Continental,,2001,190 000 km,4 601 cm3,Benzyna+LPG,279 KM,Sedan,Automatyczna,4,5,Srebrny,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lincoln-continental-lincoln-continental-benzyna-gaz-4-6l-ID6GiVfr.html
Lincoln Inny,63000,PLN,Prywatne,Lincoln,Inny,,2016,123 000 km,1 999 cm3,Benzyna,240 KM,SUV,Automatyczna,5,5,Srebrny,Używane,Tak,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-lincoln-mkc-2016-r-silnik-2-0-ecobost-naped-na-4-kola-awd-ID6F4AV5.html
Lincoln Town Car,55000,PLN,Prywatne,Lincoln,Town Car,,1984,65 890 km,4 942 cm3,Benzyna,158 KM,Sedan,Automatyczna,4,6,Niebieski,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-town-car-sprzedam-ID6Glzrq.html
Lincoln Navigator 5.4 4WD Luxury,69900,PLN,Firma,Lincoln,Navigator,5.4 4WD Luxury,2005,78 900 km,5 408 cm3,Benzyna,300 KM,SUV,Automatyczna,5,5,Biały,Używane,,4x4 (dołączany automatycznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-v8-dohc-32v-luxury-perla-android-4x4-japonia-faktura-23-vat-ID6GiTmn.html
Lincoln Continental,25600,PLN,Prywatne,Lincoln,Continental,,1973,52 000 km,7 500 cm3,Benzyna,210 KM,Coupe,Automatyczna,2,,Srebrny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-continental-okazja-zamiana-zarej-na-zabytek-po-blacharce-gotowy-do-lakierowania-ID6Gnpt2.html
Lincoln Navigator,176700,PLN,Prywatne,Lincoln,Navigator,,2018,104 319 km,3 500 cm3,Benzyna,455 KM,SUV,Automatyczna,5,7,Czarny,Używane,Tak,4x4 (stały),,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-3-5-v6-455-km-4x4-2018-select-7-osobowy-serwis-a-s-o-warty-ID6Gp4j6.html
Lincoln Continental,115000,PLN,Prywatne,Lincoln,Continental,,2017,97 000 km,3 726 cm3,Benzyna,304 KM,Sedan,Automatyczna,5,5,Niebieski,Używane,,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-continental-lincoln-continental-ID6GiauZ.html
Lincoln Navigator,220000,PLN,Prywatne,Lincoln,Navigator,,2018,60 000 km,3 500 cm3,Benzyna,455 KM,SUV,Automatyczna,5,7,Czarny,Używane,Tak,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-lincoln-navigator-2018r-ID6FECPO.html
Lincoln Continental,55000,PLN,Prywatne,Lincoln,Continental,,1973,88 888 km,7 500 cm3,Benzyna,210 KM,Coupe,Automatyczna,2,,Srebrny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-continental-lincoln-continental-1974-rok-ID6GhcF8.html
Lincoln Navigator 5.4 2WD Ultimate,29000,PLN,Prywatne,Lincoln,Navigator,5.4 2WD Ultimate,2003,371 000 km,5 408 cm3,Benzyna+LPG,300 KM,Minivan,Automatyczna,5,7,Srebrny,Używane,Tak,Na tylne koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-lincoln-navigator-5-4-v8-lpg-ID6GcJMx.html
Lincoln Navigator 5.4 4WD Luxury,60900,PLN,Firma,Lincoln,Navigator,5.4 4WD Luxury,2007,184 000 km,5 408 cm3,Benzyna,300 KM,SUV,Automatyczna,5,7,Biały,Używane,,4x4 (dołączany automatycznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-5-4-v8-4wd-300km-luxury-dvd-perla-szwajcar-po-oplatach-ID6Gnu5K.html
Lincoln MKX,110000,PLN,Prywatne,Lincoln,MKX,,2016,159 500 km,3 720 cm3,Benzyna,299 KM,SUV,Automatyczna,5,5,Biały,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-mkx-ID6GnjZY.html
Lincoln Continental,60000,PLN,Prywatne,Lincoln,Continental,,1972,1 km,7 500 cm3,Benzyna,225 KM,Sedan,Automatyczna,5,6,Niebieski,Używane,Tak,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-continental-lincoln-continental-1972r-sprzedam-lub-zamienie-na-auto-rodzinne-ID6F3KBR.html
Lincoln Town Car 4.6 Executive,29900,PLN,Prywatne,Lincoln,Town Car,4.6 Executive,1997,143 100 km,4 601 cm3,Benzyna,210 KM,Sedan,Automatyczna,4,9,Biały,Używane,Tak,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-town-car-amerykanska-limuzyna-lincoln-town-car-1997r-dluga-ID6GlDj2.html
Lincoln Navigator 5.4 L 4x2,55000,PLN,Prywatne,Lincoln,Navigator,5.4 L 4x2,2008,220 000 km,5 408 cm3,Benzyna,300 KM,SUV,Automatyczna,5,6,Biały,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-lincoln-nawigator-jezdzisz-jak-prezydent-usa-ID6Gh6pU.html
Lincoln MKZ,84900,PLN,Firma,Lincoln,MKZ,,2017,45 600 km,2 000 cm3,Benzyna,249 KM,Sedan,Automatyczna,5,5,Złoty,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/lincoln-mkz-wentyle-skora-navi-radar-ID6GnafM.html
Lincoln Navigator 5.4 4x4,69900,PLN,Prywatne,Lincoln,Navigator,5.4 4x4,2012,353 000 km,5 408 cm3,Benzyna,300 KM,SUV,Automatyczna,5,8,Biały,Używane,Tak,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-lincoln-navigator-2012-rok-benzyna-lpg-ID6Gn9RT.html
Lincoln Navigator,34900,PLN,Firma,Lincoln,Navigator,,2003,275 000 km,5 400 cm3,Benzyna+LPG,299 KM,SUV,Automatyczna,5,7,Srebrny,Używane,,Na tylne koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-navigator-24-cale-7-osobowy-mozliwa-zamiana-ID6Gls1y.html
Lincoln Inny,39999,PLN,Firma,Lincoln,Inny,,2011,87 200 km,3 712 cm3,Benzyna+LPG,288 KM,Sedan,Automatyczna,4,5,Granatowy,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/lincoln-mks-3-7-nowe-lpg-aut-lopatki-alu-19-skora-xenon-ID6GiSaD.html
